Tum Murli Madhur Bajao,,Bihag,not available.txt
Kai Gata Main So Jata,Alaap,Bihag,not available.txt
Chalenge Teer Jab Dil Paar,Kohinoor,Bihag,not available.txt
Tere Pyar Mein Dildaar,Mere Mehboob,Bihag,not available.txt
Yeh Kya Jaga Hai Doston,Umrao Jaan,Bihag,not available.txt
Ae Dil Bekaraar Jhoom,Shah Jahan,Bihag,not available.txt
Banke Chakori Gori Jhum Jhum Nachegi,,Bihag,not available.txt
Zindagi Ke Safar Mein,Aap Ki Kasam,Bihag,not available.txt
Bole Re Surili Boliyan,Griha Pravesh,Bihag,not available.txt
Hamare Dil Se Na Jana,Udan Khatola,Bihag,not available.txt
Jamunaa Kinare Aaja Chaliya,Mehbooba,Bihag/ Maru / Maaru Bihag,not available.txt
Matavali Nar Thumak Thumak,,Bihag/ Maru / Maaru Bihag,not available.txt
Piya Tora Kaisa Abhimaan,Raincoat,Bihag/ Maru / Maaru Bihag,not available.txt
Payelavali Dekha Na,,Bihag/ Maru / Maaru Bihag,not available.txt
Radha Jaye Na,,Bihag/ Maru / Maaru Bihag,not available.txt
Tum To Pyar Ho Sajna,Sehra,Bihag/ Maru / Maaru Bihag,not available.txt
Jana Gana Mana,National Anthem,Bilawal Alhaiya,not available.txt
Bhor Aayi Gaya Andhiyara,Bawarchi,Bilawal Alhaiya,not available.txt
Sare Ke Sare Gama Ko Lekar Gaate Chale,Parichay,Bilawal Alhaiya,not available.txt
Majhi Re Himmat Na Haar,,Chandrakauns,not available.txt
Tu Hi Tu Main Seva Karun,,Chandrakauns,not available.txt
San Sanna Sanna Sanna Jao Re Pavan,,Chandrakauns,not available.txt
Dukh Ki Lahar Ne Chheda Hoga,Ghazal,Charukeshi,not available.txt
Kabhi Raat Din Hum Door The,Aamne Saamne,Charukeshi,not available.txt
Baiyya Na Dharo,Dastak,Charukeshi,not available.txt
Megha Re Megha Re,Pyaasa Saawan,Charukeshi,not available.txt
Akele Hi Chale Aao,Raaz,Charukeshi,not available.txt
Mohabbat Ke Suhane Din Jawani Ki Hansi Raaten,,Charukeshi,not available.txt
Bekhudi Mein Sanam,,Charukeshi,not available.txt
Jaan-e-jaana...Jab Jab Teri Surat Dekhun,Jaanbaaz,Charukeshi,not available.txt
Dukh Ki Lahar Ne Chheda Hoga,Ghazal,Charukeshi,not available.txt
Shyam Teri Bansi Pukare Radha Naam,Geet Gata Chal,Charukeshi,not available.txt
Mohabbat Ke Suhane Din,,Charukeshi,not available.txt
Aaj Dil Pe Koi Jor Chalta Nahin,Milan,Charukeshi,not available.txt
Aisa Lagta Hai Zindagi Tum Ho,Ghazal,Charukeshi,not available.txt
Bekhudi Me Sanam,,Charukeshi,not available.txt
Ek Tu Na Mila,Himalay Ki God Mein,Charukeshi,not available.txt
Kisi Raha Mein Kisi Mod Par,Mere Humsafar,Charukeshi,not available.txt
Aaj Dil Pe Koi Jor Chalta Hai,Milan,Charukeshi,not available.txt
Chhod De Sari Duniya Kisi Ke Liye,Saraswati Chandra,Charukeshi,not available.txt
Ek Tu Na Mila,Himalay Ki God Me,Charukeshi,not available.txt
Kabhi Raat Din Hum Door The,Aamne Saamne,Charukeshi,not available.txt
Teri Ummid Tera Intzaar Karti Hai,Deewana,Charukeshi,not available.txt
Kisi Raah Mein Kisi Mod Par,Mere Humsafar,Charukeshi,not available.txt
Akele Hain Chale Aao,Raaz,Charukeshi,not available.txt
Tere Naina Talaash Kare Jise,Talaash,Chaya Nata / Chhayanat,not available.txt
Zhan Zhan Zhan Zhan Payal Baje,,Chaya Nata / Chhayanat,not available.txt
Chanda Re Ja Re Ja Re,Ziddi,Chaya Nata / Chhayanat,not available.txt
Baad Muddat Ki Ye Ghadi,Jahan Ara,Chaya Nata / Chhayanat,not available.txt
Hum Bekhudi Mein Tum Ko,Kala Paani,Chaya Nata / Chhayanat,not available.txt
Chaina Nahi Aaye Kahan Dil Jaye,Samundar,Chaya Nata / Chhayanat,not available.txt
Chali Re Chali Re Main To Des Paraye,,Desh / Des,not available.txt
Sainya Jao Mose Na Bolo Kahe Ko Neha Lagaye,Jhanak Jhanak Payal Baje,Desh / Des,not available.txt
Dukhke Din Ab Bitat Nahi,,Desh / Des,not available.txt
Phir Kahin Koi Phool Khila,Anubhav,Desh / Des,not available.txt
Takdir Ka Fasaana,Sehra,Desh / Des,not available.txt
Door Koi Gaaye,Baiju Bawra,Desh / Des,not available.txt
